Name
135kHz帯
475kHz帯
1.9MHz帯
3.5MHz帯
3.8MHz帯
7MHz帯
10MHz帯
14MHz帯
18MHz帯
21MHz帯
24MHz帯
28MHz帯
50MHz帯
144MHz帯
430MHz帯
1200MHz帯
2400MHz帯
5600MHz帯
10.1GHz帯
10.4GHz帯
